,Club,Name,Location,Date,Link
0,Valley Consulting Group,VCG Infosession #1,Dwinelle 241,12/25/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231226T030000Z/20231226T050000Z&details=Powered+by+Connex.+&location=Dwinelle+241&text=VCG+Infosession+%231
1,Valley Consulting Group,VCG Infosession #2,Dwinelle 242,12/26/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231227T030000Z/20231227T050000Z&details=Powered+by+Connex.+&location=Dwinelle+242&text=VCG+Infosession+%232
2,Valley Consulting Group,VCG Infosession #3,Dwinelle 243,12/27/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231228T030000Z/20231228T050000Z&details=Powered+by+Connex.+&location=Dwinelle+243&text=VCG+Infosession+%233
3,Blockchain at Berkeley,BAB Infosession #1,Dwinelle 241,12/25/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231226T030000Z/20231226T050000Z&details=Powered+by+Connex.+&location=Dwinelle+241&text=BAB+Infosession+%231
4,Blockchain at Berkeley,BAB Infosession #2,Dwinelle 242,12/26/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231227T030000Z/20231227T050000Z&details=Powered+by+Connex.+&location=Dwinelle+242&text=BAB+Infosession+%232
5,Blockchain at Berkeley,BAB Infosession #3,Dwinelle 243,12/27/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231228T030000Z/20231228T050000Z&details=Powered+by+Connex.+&location=Dwinelle+243&text=BAB+Infosession+%233
6,Delta Consulting,Delta Infosession #1,Dwinelle 241,12/25/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231226T030000Z/20231226T050000Z&details=Powered+by+Connex.+&location=Dwinelle+241&text=Delta+Infosession+%231
7,Delta Consulting,Delta Infosession #2,Dwinelle 242,12/26/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231227T030000Z/20231227T050000Z&details=Powered+by+Connex.+&location=Dwinelle+242&text=Delta+Infosession+%232
8,Delta Consulting,Delta Infosession #3,Dwinelle 243,12/27/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231228T030000Z/20231228T050000Z&details=Powered+by+Connex.+&location=Dwinelle+243&text=Delta+Infosession+%233
9,The Berkeley Group,TBG Infosession #1,Dwinelle 241,12/25/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231226T030000Z/20231226T050000Z&details=Powered+by+Connex.+&location=Dwinelle+241&text=TBG+Infosession+%231
10,The Berkeley Group,TBG Infosession #2,Dwinelle 242,12/26/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231227T030000Z/20231227T050000Z&details=Powered+by+Connex.+&location=Dwinelle+242&text=TBG+Infosession+%232
11,The Berkeley Group,TBG Infosession #3,Dwinelle 243,12/27/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231228T030000Z/20231228T050000Z&details=Powered+by+Connex.+&location=Dwinelle+243&text=TBG+Infosession+%233
12,Middle Eastern Business Association,MEBA Infosession #1,Dwinelle 241,12/25/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231226T030000Z/20231226T050000Z&details=Powered+by+Connex.+&location=Dwinelle+241&text=MEBA+Infosession+%231
13,Middle Eastern Business Association,MEBA Infosession #2,Dwinelle 242,12/26/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231227T030000Z/20231227T050000Z&details=Powered+by+Connex.+&location=Dwinelle+242&text=MEBA+Infosession+%232
14,Middle Eastern Business Association,MEBA Infosession #3,Dwinelle 243,12/27/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231228T030000Z/20231228T050000Z&details=Powered+by+Connex.+&location=Dwinelle+243&text=MEBA+Infosession+%233
15,Net Impact Berkeley,NIB Infosession #1,Dwinelle 241,12/25/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231226T030000Z/20231226T050000Z&details=Powered+by+Connex.+&location=Dwinelle+241&text=NIB+Infosession+%231
16,Net Impact Berkeley,NIB Infosession #2,Dwinelle 242,12/26/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231227T030000Z/20231227T050000Z&details=Powered+by+Connex.+&location=Dwinelle+242&text=NIB+Infosession+%232
17,Net Impact Berkeley,NIB Infosession #3,Dwinelle 243,12/27/2023 7:00 PM,https://calendar.google.com/calendar/u/0/r/eventedit?dates=20231228T030000Z/20231228T050000Z&details=Powered+by+Connex.+&location=Dwinelle+243&text=NIB+Infosession+%233
